Number,Digimon,Stage,Type_x,Attribute,Memory,Equip Slots,Lv 50 HP,Lv50 SP,Lv50 Atk,Lv50 Def,Lv50 Int,Lv50 Spd,Move,SP Cost,Type_y,Power,Inheritable,Description,Efficiency
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Chain Max,8,Support,0,Yes,Increase COMBO for one member by 100%.,0.0
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Chain Minus,4,Support,0,Yes,Reduce COMBO for one enemy by 50%.,0.0
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Chain Loss,8,Support,0,Yes,Reduce COMBO for one enemy by 100%.,0.0
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Escape Dash,0,Support,0,Yes,Flee from a battle.,
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Summon,5,Fixed,0,No,Fixed damage of 100 to one foe. 30% chance of increasing INT by 10%.,0.0
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Double Backhand,5,Physical,20,No,"2 physical attacks, 20 Neutral damage to all foes.",4.0
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Little Horn,5,Physical,70,No,"Physical attack, 70 Neutral damage to one foe. 10% chance of reducing target's DEF by 10%.",14.0
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Metal Cannon,5,Physical,70,No,"Physical attack, 70 Neutral damage to one foe. 30% chance of increasing DEF by 10%.",14.0
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Veemon Headbutt,5,Physical,75,No,"Physical attack, 75 Neutral damage to one foe.",15.0
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Dumdum Uppercut,10,Physical,90,No,"Physical attack, 90 Neutral damage to one foe. 10% chance of stunning target.",9.0
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Chrono Breaker,10,Fixed,0,No,Fixed damage of 150 to one foe. 30% chance of reducing target's SPD by 10%.,0.0
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Scissor Claw,20,Physical,0,No,"DEF-penetrating attack, Neutral damage to one foe.",0.0
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Symphony Crusher,20,Magic,0,No,"INT-penetrating attack, Neutral damage to one foe.",0.0
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Meteor Shower,10,Physical,40,No,"Physical attack, 40 Neutral damage to all foes. 90% accuracy. Tends to critical more often.",4.0
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Lightning Paw,10,Fixed,0,No,Fixed damage of 150 to one foe. 60% chance of confusing target.,0.0
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Death Claw,10,Fixed,0,No,Fixed damage of 200 to one foe. Absorbs 20% of the damage as HP.,0.0
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Power Metal,10,Physical,90,No,"Physical attack, 90 Neutral damage to one foe. 30% chance of increasing attack by 10%.",9.0
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Death Charm,10,Direct,0,No,Reduce 10% HP from one enemy.,0.0
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Razor Wind,10,Physical,30,No,"2-4 physical attacks, 30 Neutral damage to one foe.",3.0
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Galactic Flare,15,Magic,55,No,"Magic attack, 55 Neutral damage to all foes.",3.6666666666666665
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Double Scissor Claw,30,Physical,0,No,"DEF-penetrating attack, double Neutral damage to one foe.",0.0
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Desolation Claw,15,Physical,115,No,"Physical attack, 115 Neutral damage to one foe. 10% chance of instantly killing target.",7.666666666666667
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Nightmare Syndrome,15,Magic,0,No,Reduce 15% HP from one enemy. 20% chance of putting target to sleep.,0.0
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Musical Fist,30,Magic,0,No,"INT-penetrating attack, Neutral damage to all with 10% chance of reducing ATK/INT by 10%.",0.0
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Berserk Sword,15,Direct,0,No,Inflict Death on one enemy. 30% accuracy.,0.0
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Trick or Treat,15,Physical,100,No,"Physical attack, 100 Neutral damage to one foe. Decrease target's INT by 10%.",6.666666666666667
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Winning Knuckle,15,Physical,115,No,"Physical attack, 115 Neutral damage to one foe. 20% chance of stunning target.",7.666666666666667
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Revenge Flame,15,Direct,0,No,Counterattack the enemy when you receive a physical or magic attack.,0.0
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Hearts Attack,30,Magic,0,No,"INT-penetrating attack, Neutral damage to one foe. 20% chance of confusing target.",0.0
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Dead or Alive,25,Magic,110,No,"Magic attack, 110 Neutral damage to one foe. 10% to inflict a status effect, 5% chance of instantly killing target.",4.4
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Wolf Claw,15,Physical,120,No,"Physical attack, 120 Neutral damage to one foe.",8.0
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Pandora Dialogue,15,Magic,0,No,Reduces HP of all foes by 20%. Receive damage equal to 10% of HP from recoil.,0.0
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Waltz's End,25,Physical,30,No,"3 physical attacks, 30 Neutral damage to all foes.",1.2
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Judgement of the Blade,25,Physical,30,No,"5 physical attacks, 30 Neutral damage to one foe.",1.2
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Justice Kick,20,Physical,130,No,"Physical attack, 130 Neutral damage to one foe. 1% chance of increasing ATK by 50%.",6.5
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Trump Sword,20,Magic,35,No,"4 magic attacks, 35 Neutral damage to one foe.",1.75
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Smile Warhead,20,Physical,130,No,"Physical attack, 130 Neutral damage to one foe. 50% chance to cause knockback.",6.5
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Tomahawk Stinger,20,Physical,130,No,"Physical attack, 130 Neutral damage to one foe. 15% chance of confusing target.",6.5
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Chaos Degradation,25,Direct,0,No,Reduces HP of all foes by 25%.,0.0
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Ocean Love,20,Support,0,No,Restore HP to all battle members and recover all status effects.,0.0
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Strike Roll,20,Physical,140,No,"Physical attack, 140 Neutral damage to one foe. Tends to critical more often.",7.0
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Biting Crush,25,Physical,145,No,"Physical attack, 145 Neutral damage to one foe. 15% chance of instantly killing target.",5.8
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Omni Sword,30,Physical,150,No,"Physical attack, 150 Neutral damage to one foe. 10% chance of dotting target.",5.0
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Bantyo Blade,20,Physical,150,No,"Physical attack, 150 Neutral damage to one foe. Damage tends to fluctuate.",7.5
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Soul Digitalization,25,Magic,95,No,"Magic attack, 95 Neutral damage to all foes. 5% chance of instantly killing target.",3.8
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Breath of the Gods,25,Support,0,No,Nullifies any damage received until next turn.,0.0
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Weltgeist,25,Support,0,No,"Nullify all received damage until the next turn, and counterattacks when receiving physical or magic attacks.",0.0
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Garuru Tomahawk,20,Physical,140,No,"Physical attack, 140 Neutral damage to one foe. Always hits.",7.0
2,Pabumon,Baby,Free,Neutral,2,0,950,62,76,76,69,68,Heavy Strike I,3,Physical,70,Yes,"Physical attack, 70 Neutral damage to one foe. 95% accuracy.",23.333333333333332
2,Pabumon,Baby,Free,Neutral,2,0,950,62,76,76,69,68,Heavy Strike II,6,Physical,90,Yes,"Physical attack, 90 Neutral damage to one foe. 95% accuracy.",15.0
2,Pabumon,Baby,Free,Neutral,2,0,950,62,76,76,69,68,Heavy Strike III,9,Physical,110,Yes,"Physical attack, 110 Neutral damage to one foe. 95% accuracy.",12.222222222222221
2,Pabumon,Baby,Free,Neutral,2,0,950,62,76,76,69,68,Power Energy I,3,Magic,60,Yes,"Magic attack, 60 Neutral damage to one foe. 95% accuracy.",20.0
2,Pabumon,Baby,Free,Neutral,2,0,950,62,76,76,69,68,Power Energy II,6,Magic,80,Yes,"Magic attack, 80 Neutral damage to one foe. 95% accuracy.",13.333333333333334
2,Pabumon,Baby,Free,Neutral,2,0,950,62,76,76,69,68,Power Energy III,9,Magic,100,Yes,"Magic attack, 100 Neutral damage to one foe. 95% accuracy.",11.11111111111111
2,Pabumon,Baby,Free,Neutral,2,0,950,62,76,76,69,68,Mach Rush I,4,Physical,35,Yes,"Physical attack, 35 Neutral damage to all foes. 95% accuracy.",8.75
2,Pabumon,Baby,Free,Neutral,2,0,950,62,76,76,69,68,Mach Rush II,7,Physical,50,Yes,"Physical attack, 50 Neutral damage to all foes. 95% accuracy.",7.142857142857143
2,Pabumon,Baby,Free,Neutral,2,0,950,62,76,76,69,68,Mach Rush III,10,Physical,80,Yes,"Physical attack, 80 Neutral damage to all foes. 95% accuracy.",8.0
2,Pabumon,Baby,Free,Neutral,2,0,950,62,76,76,69,68,Physical Drain,3,Physical,50,Yes,"Physical attack, 50 Neutral damage to one foe. Absorb 10% SP.",16.666666666666668
2,Pabumon,Baby,Free,Neutral,2,0,950,62,76,76,69,68,Spirit Drain,3,Magic,40,Yes,"Magic attack, 40 Neutral damage to one foe. Absorb 10% SP.",13.333333333333334
2,Pabumon,Baby,Free,Neutral,2,0,950,62,76,76,69,68,Character Reversal,10,Magic,30,Yes,"Magic attack, 30 Neutral damage to one foe. Inflicts Bug status effect.",3.0
2,Pabumon,Baby,Free,Neutral,2,0,950,62,76,76,69,68,Heal,4,Support,0,Yes,Restores a little HP for one party member.,0.0
2,Pabumon,Baby,Free,Neutral,2,0,950,62,76,76,69,68,X-Heal,8,Support,0,Yes,Restores HP for one party member.,0.0
2,Pabumon,Baby,Free,Neutral,2,0,950,62,76,76,69,68,Final Heal,16,Support,0,Yes,Restores a lot of HP for one party member.,0.0
2,Pabumon,Baby,Free,Neutral,2,0,950,62,76,76,69,68,Aura,10,Support,0,Yes,Restores a little HP for all party members.,0.0
2,Pabumon,Baby,Free,Neutral,2,0,950,62,76,76,69,68,X-Aura,25,Support,0,Yes,Restores HP for all party members.,0.0
2,Pabumon,Baby,Free,Neutral,2,0,950,62,76,76,69,68,Final Aura,40,Support,0,Yes,Restores a lot of HP for all party members.,0.0
2,Pabumon,Baby,Free,Neutral,2,0,950,62,76,76,69,68,Revive,30,Support,0,Yes,Revive one fallen party member with 50% HP.,0.0
2,Pabumon,Baby,Free,Neutral,2,0,950,62,76,76,69,68,Perfect Revival,60,Support,0,Yes,Revive all fallen party members with full HP.,0.0
2,Pabumon,Baby,Free,Neutral,2,0,950,62,76,76,69,68,Anti-Poison,4,Support,0,Yes,Recover Poison from one party member and restore some HP.,0.0
2,Pabumon,Baby,Free,Neutral,2,0,950,62,76,76,69,68,Anti-Panic,4,Support,0,Yes,Recover Panic from one party member and restore some HP.,0.0
2,Pabumon,Baby,Free,Neutral,2,0,950,62,76,76,69,68,Anti-Paralysis,4,Support,0,Yes,Recover Paralyze from one party member and restore some HP.,0.0
2,Pabumon,Baby,Free,Neutral,2,0,950,62,76,76,69,68,Anti-Sleep,4,Support,0,Yes,Recover Sleep from one party member and restore some HP.,0.0
2,Pabumon,Baby,Free,Neutral,2,0,950,62,76,76,69,68,Anti-Stun,4,Support,0,Yes,Recover Stun from one party member and restore some HP.,0.0
2,Pabumon,Baby,Free,Neutral,2,0,950,62,76,76,69,68,Anti-Dot,4,Support,0,Yes,Recover Dot from one party member and restore some HP.,0.0
2,Pabumon,Baby,Free,Neutral,2,0,950,62,76,76,69,68,Anti-Bug,4,Support,0,Yes,Recover Bug from one party member and restore some HP.,0.0
2,Pabumon,Baby,Free,Neutral,2,0,950,62,76,76,69,68,Restore,8,Support,0,Yes,Remove all status effects from one party member and restore some HP.,0.0
2,Pabumon,Baby,Free,Neutral,2,0,950,62,76,76,69,68,Dispel,8,Support,0,Yes,Remove basic debuffs from one party member and restore some HP.,0.0
2,Pabumon,Baby,Free,Neutral,2,0,950,62,76,76,69,68,Attack Charge,6,Support,0,Yes,Increases ATK of one member by 10%.,0.0
2,Pabumon,Baby,Free,Neutral,2,0,950,62,76,76,69,68,Attack Charge Field,20,Support,0,Yes,Increases ATK of all battle members by 10%.,0.0
2,Pabumon,Baby,Free,Neutral,2,0,950,62,76,76,69,68,Guard Charge,6,Support,0,Yes,Increases DEF of one member by 10%.,0.0
2,Pabumon,Baby,Free,Neutral,2,0,950,62,76,76,69,68,Guard Charge Field,20,Support,0,Yes,Increases DEF of all battle members by 10%.,0.0
2,Pabumon,Baby,Free,Neutral,2,0,950,62,76,76,69,68,Mental Charge,6,Support,0,Yes,Increases INT of one member by 10%.,0.0
2,Pabumon,Baby,Free,Neutral,2,0,950,62,76,76,69,68,Mental Charge Field,20,Support,0,Yes,Increases INT of all battle members by 10%.,0.0
2,Pabumon,Baby,Free,Neutral,2,0,950,62,76,76,69,68,Speed Charge,6,Support,0,Yes,Increases SPD of one member by 10%.,0.0
2,Pabumon,Baby,Free,Neutral,2,0,950,62,76,76,69,68,Speed Charge Field,20,Support,0,Yes,Increases SPD of all battle members by 10%.,0.0
2,Pabumon,Baby,Free,Neutral,2,0,950,62,76,76,69,68,Hit Charge,6,Support,0,Yes,Increases ACC of one battle member by 10%.,0.0
2,Pabumon,Baby,Free,Neutral,2,0,950,62,76,76,69,68,Agility Charge,6,Support,0,Yes,Increases EVA of one battle member by 10%.,0.0
2,Pabumon,Baby,Free,Neutral,2,0,950,62,76,76,69,68,Critical Charge,6,Support,0,Yes,Increases CRIT of one battle member by 10%.,0.0
2,Pabumon,Baby,Free,Neutral,2,0,950,62,76,76,69,68,Attack Break,6,Support,0,Yes,Reduces ATK of one enemy by 10%.,0.0
2,Pabumon,Baby,Free,Neutral,2,0,950,62,76,76,69,68,Attack Break Field,20,Support,0,Yes,Reduces ATK of all enemies by 10%.,0.0
2,Pabumon,Baby,Free,Neutral,2,0,950,62,76,76,69,68,Guard Break,6,Support,0,Yes,Reduces DEF of one enemy by 10%.,0.0
2,Pabumon,Baby,Free,Neutral,2,0,950,62,76,76,69,68,Guard Break Field,20,Support,0,Yes,Reduces DEF of all enemies by 10%.,0.0
2,Pabumon,Baby,Free,Neutral,2,0,950,62,76,76,69,68,Mental Break,6,Support,0,Yes,Reduces INT of one enemy by 10%.,0.0
2,Pabumon,Baby,Free,Neutral,2,0,950,62,76,76,69,68,Mental Break Field,20,Support,0,Yes,Reduces INT of all enemies by 10%.,0.0
2,Pabumon,Baby,Free,Neutral,2,0,950,62,76,76,69,68,Speed Break,6,Support,0,Yes,Reduces SPD of one enemy by 10%.,0.0
2,Pabumon,Baby,Free,Neutral,2,0,950,62,76,76,69,68,Speed Break Field,20,Support,0,Yes,Reduces SPD of all enemies by 10%.,0.0
2,Pabumon,Baby,Free,Neutral,2,0,950,62,76,76,69,68,Acceleration Boost,6,Support,0,Yes,Doubles damage output in the next turn.,0.0
2,Pabumon,Baby,Free,Neutral,2,0,950,62,76,76,69,68,Cross-Counter,6,Support,0,Yes,Counterattacks the enemy when you receive a physical attack.,0.0
2,Pabumon,Baby,Free,Neutral,2,0,950,62,76,76,69,68,Mirror Reflection,6,Support,0,Yes,Counterattacks the enemy when you receive a magic attack.,0.0
2,Pabumon,Baby,Free,Neutral,2,0,950,62,76,76,69,68,Status Barrier,16,Support,0,Yes,Make one member immune to all status effects.,0.0
2,Pabumon,Baby,Free,Neutral,2,0,950,62,76,76,69,68,Safety Guard,32,Support,0,Yes,Make one member endure all attacks that could kill you once.,0.0
2,Pabumon,Baby,Free,Neutral,2,0,950,62,76,76,69,68,Chain Plus,4,Support,0,Yes,Increase COMBO for one member by 50%.,0.0
2,Pabumon,Baby,Free,Neutral,2,0,950,62,76,76,69,68,Chain Max,8,Support,0,Yes,Increase COMBO for one member by 100%.,0.0
2,Pabumon,Baby,Free,Neutral,2,0,950,62,76,76,69,68,Chain Minus,4,Support,0,Yes,Reduce COMBO for one enemy by 50%.,0.0
2,Pabumon,Baby,Free,Neutral,2,0,950,62,76,76,69,68,Chain Loss,8,Support,0,Yes,Reduce COMBO for one enemy by 100%.,0.0
2,Pabumon,Baby,Free,Neutral,2,0,950,62,76,76,69,68,Escape Dash,0,Support,0,Yes,Flee from a battle.,
2,Pabumon,Baby,Free,Neutral,2,0,950,62,76,76,69,68,Summon,5,Fixed,0,No,Fixed damage of 100 to one foe. 30% chance of increasing INT by 10%.,0.0
2,Pabumon,Baby,Free,Neutral,2,0,950,62,76,76,69,68,Double Backhand,5,Physical,20,No,"2 physical attacks, 20 Neutral damage to all foes.",4.0
2,Pabumon,Baby,Free,Neutral,2,0,950,62,76,76,69,68,Little Horn,5,Physical,70,No,"Physical attack, 70 Neutral damage to one foe. 10% chance of reducing target's DEF by 10%.",14.0
2,Pabumon,Baby,Free,Neutral,2,0,950,62,76,76,69,68,Metal Cannon,5,Physical,70,No,"Physical attack, 70 Neutral damage to one foe. 30% chance of increasing DEF by 10%.",14.0
2,Pabumon,Baby,Free,Neutral,2,0,950,62,76,76,69,68,Veemon Headbutt,5,Physical,75,No,"Physical attack, 75 Neutral damage to one foe.",15.0
2,Pabumon,Baby,Free,Neutral,2,0,950,62,76,76,69,68,Dumdum Uppercut,10,Physical,90,No,"Physical attack, 90 Neutral damage to one foe. 10% chance of stunning target.",9.0
2,Pabumon,Baby,Free,Neutral,2,0,950,62,76,76,69,68,Chrono Breaker,10,Fixed,0,No,Fixed damage of 150 to one foe. 30% chance of reducing target's SPD by 10%.,0.0
2,Pabumon,Baby,Free,Neutral,2,0,950,62,76,76,69,68,Scissor Claw,20,Physical,0,No,"DEF-penetrating attack, Neutral damage to one foe.",0.0
